번역 번호,Ehn어 문장 (일반문 어순 적용),한국어 문장 (50자 이상 구성)
1,Syd ytsys saynan yndesaf ehnomysys et.,그래서 소리를 내는 땅의 돈을 정신으로 수용하여 깊이 이해한 나
2,Pyd yshyx uhnas ymykt af əpnys et.,그냥 논리적인 사회의 근원을 연구하여 그 진실을 모두 알고 있는 나
3,Tyd ychyx esyhn esesaf ytsynt et.,또한 행복하고 화려한 풍경의 비명을 귀로 직접 들었던 나
4,Yd əshys slyd yshaf ushys et.,매우 사랑스러운 숲의 규칙을 긍정하며 찬성하고 지지하는 나
5,Cyd sysyx osn vlscaf ehnynt et.,심지어 뜨거운 액체의 독에 의해 다쳤던 고통을 온몸으로 느꼈던 나
6,Lyd ysnynyx yts ypnysaf sopnysynt et.,아마도 특유의 소리 나는 직업을 세상으로부터 몰래 은폐했던 나
7,Kyd yshyx am yttaf yttys et.,아주 정확한 공간의 이론을 사람들에게 새롭게 제안하며 제시하는 나
8,Fynd ushn_yx ynysaf synysynt et.,오직 생존에 필요한 이름을 대상에게 정성스럽게 이름 붙여주었던 나
9,Nyd yfsech efsahn efsaf efsahnys et.,이후에 배고픔을 해결할 요리의 음식을 정성을 다해 요리하는 나
10,Dyn yshyx oktsəsyx oksəsaf oksəsynt et.,이전에 정확하고 확률적인 역사의 목록을 상세하게 직접 작성했던 나
11,Syd ameu sayfs sayfsaf sayfsynt et.,그래서 공간에서 패배한 패배자를 가슴 깊이 안타깝게 생각했던 나
12,Pyd uth_yx esyhn esyhn_af uthynt et.,그냥 고귀하고 화려한 풍경의 모습을 조용히 관점으로 바라보았던 나
13,Tyd yshyx yttas attasaf attasys et.,또한 논리적인 투척의 도구를 목표를 향해 멀리 힘껏 던지는 나
14,Yd shnayn_yx yndes yndesaf yndesys et.,매우 저렴한 가치의 돈을 시장에서 물건과 유리하게 거래하는 나
15,Cyd saym_yx vlscvgrp vlscaf vlscynt et.,심지어 약한 재난의 사고 때문에 몸을 심하게 다치고 고생했던 나
16,Lyd suthehn_yx sats satsaf ytsynt et.,아마도 증오스러운 비언어의 말을 귀로 조용히 모두 들어버렸던 나
17,Kyd ashn_yx saynan saynanaf ahnanys et.,아주 중력이 강한 세계의 대륙을 끊임없이 여행하며 개척하는 나
18,Fynd shnayn_yx əkt əktaf əktys et.,오직 저렴한 소모품의 물건을 생활 속에서 알뜰하게 사용하며 쓰는 나
19,Nyd əhn_yx əhn əhnaf əhnynt et.,이후에 점령한 국가의 영토를 강력한 힘으로 모두 통치했던 나
20,Dyn yfsech efs efsaf efsynt et.,이전에 배고픈 상태에서 음식의 에너지를 허겁지겁 흡수하며 먹었던 나
21,Syd yshyx ytsys satsaf ytsys et.,그래서 논리적으로 소리를 내는 비언어를 주의 깊게 잘 듣고 있는 나
22,Pyd yshyx ynend ynendaf ynendynt et.,그냥 규칙적인 의복의 옷을 몸에 맞게 깔끔하게 직접 입었던 나
23,Tyd ashn_yx shnayn əktaf sabtynt et.,또한 중력처럼 저렴한 물건의 위치를 머릿속에서 완전히 잊었던 나
24,Yd yfsyn_yx ashnənth ashnənthaf sənthynt et.,매우 성공적인 차별의 편견을 공평한 기준으로 다시 바로잡았던 나
25,Cyd sysyx sys sysaf sahnys et.,심지어 뜨거운 불의 기운을 사용하여 낡은 물건을 완전히 파괴하는 나
26,Lyd ashn_yx saynan ashnaf ashnys et.,아마도 중력이 작용하는 땅을 향해 모든 물체를 강하게 끌어당기는 나
27,Kyd yshyx ysh yshaf ehnosys et.,아주 똑똑한 논리의 규칙을 머릿속으로 깊고 세밀하게 고민하는 나
28,Fynd ashn_yx ashnənth ashnənthaf ashnənthys et.,오직 중력처럼 낮은 차별의 편견을 가지고 사람들을 부당하게 대하는 나
29,Nyd ehnəpnoth əpn əpnaf əpnys et.,이후에 심리학의 학문을 연구실에서 밤낮없이 열심히 연구하며 배우는 나
